City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,35.22,75,20,4.61,AR,2021-07-21 18:36:17
1,Albany,42.6001,-73.9662,78.46,66,54,3.0,US,2021-07-21 18:35:24
2,Homer,59.6425,-151.5483,55.04,94,90,5.75,US,2021-07-21 18:36:17
3,Punta Arenas,-53.15,-70.9167,41.11,81,75,19.57,CL,2021-07-21 18:31:18
4,Rikitea,-23.1203,-134.9692,73.09,59,75,19.8,PF,2021-07-21 18:35:10
5,Hilo,19.7297,-155.09,81.28,94,90,6.91,US,2021-07-21 18:36:18
6,Bengkulu,-3.8004,102.2655,74.91,88,23,3.42,ID,2021-07-21 18:36:18
7,Palmer,42.1584,-72.3287,81.55,56,75,1.01,US,2021-07-21 18:35:12
8,Tuktoyaktuk,69.4541,-133.0374,77.0,50,20,8.05,CA,2021-07-21 18:36:19
9,Watsa,3.0372,29.5355,64.42,98,100,1.88,CD,2021-07-21 18:36:20
10,Burriana,39.889,-0.085,81.14,60,0,2.17,ES,2021-07-21 18:36:20
11,Trinidad,-14.8333,-64.9,82.38,34,0,4.61,BO,2021-07-21 18:36:20
12,Athens,37.9795,23.7162,87.17,69,20,1.01,GR,2021-07-21 18:35:25
13,Jumla,29.2747,82.1838,63.9,97,100,3.49,NP,2021-07-21 18:36:21
14,Dunedin,-45.8742,170.5036,47.8,78,100,11.01,NZ,2021-07-21 18:32:28
15,Berdigestyakh,62.0989,126.6992,56.53,95,100,6.55,RU,2021-07-21 18:36:21
16,Tasiilaq,65.6145,-37.6368,44.76,97,100,4.63,GL,2021-07-21 18:36:22
17,Martapura,-3.4167,114.85,73.49,100,90,2.3,ID,2021-07-21 18:36:22
18,Ilo,-17.6394,-71.3375,61.66,77,0,8.05,PE,2021-07-21 18:36:23
19,Bonfim,3.0833,-59.95,87.13,60,51,7.09,BR,2021-07-21 18:36:23
20,Sinnamary,5.3833,-52.95,83.73,75,48,9.93,GF,2021-07-21 18:36:23
21,Poum,-20.2333,164.0167,71.22,65,33,10.65,NC,2021-07-21 18:36:23
22,Bouar,5.934,15.596,65.55,94,65,2.21,CF,2021-07-21 18:36:24
23,Laguna,38.421,-121.4238,98.24,50,1,6.91,US,2021-07-21 18:36:24
24,Norman Wells,65.282,-126.8329,75.24,53,75,6.91,CA,2021-07-21 18:36:25
25,Dikson,73.5069,80.5464,49.96,63,98,18.59,RU,2021-07-21 18:36:25
26,Sao Joao Da Barra,-21.6403,-41.0511,75.29,68,100,8.86,BR,2021-07-21 18:36:25
27,Oktyabrskiy,54.4815,53.471,65.35,65,11,2.48,RU,2021-07-21 18:36:26
28,Seoul,37.5683,126.9778,80.53,63,89,2.37,KR,2021-07-21 18:34:19
29,Listvyanka,51.8535,104.8693,51.3,98,45,1.97,RU,2021-07-21 18:36:26
30,Arraial Do Cabo,-22.9661,-42.0278,73.36,68,20,9.22,BR,2021-07-21 18:36:26
31,Alma,48.5501,-71.6491,76.21,50,35,7.07,CA,2021-07-21 18:36:27
32,La Ronge,55.1001,-105.2842,66.45,82,90,5.75,CA,2021-07-21 18:36:27
33,Port Alfred,-33.5906,26.891,51.53,81,96,29.68,ZA,2021-07-21 18:36:27
34,Hobart,-42.8794,147.3294,48.06,80,98,3.0,AU,2021-07-21 18:31:44
35,Oriximina,-1.7656,-55.8661,90.61,47,37,6.13,BR,2021-07-21 18:36:28
36,Havoysund,70.9963,24.6622,47.28,88,100,29.48,NO,2021-07-21 18:36:28
37,Faanui,-16.4833,-151.75,78.94,77,90,20.15,PF,2021-07-21 18:36:29
38,Cape Town,-33.9258,18.4232,49.1,69,75,8.05,ZA,2021-07-21 18:36:29
39,Micheweni,-4.9667,39.8333,75.87,82,4,11.88,TZ,2021-07-21 18:36:29
40,Vaini,-21.2,-175.2,73.56,88,20,8.05,TO,2021-07-21 18:36:30
41,Kavieng,-2.5744,150.7967,81.01,80,100,7.85,PG,2021-07-21 18:36:30
42,Synya,65.3718,58.0387,54.68,83,100,6.49,RU,2021-07-21 18:36:31
43,Qeshm,26.9581,56.2719,93.09,72,0,13.49,IR,2021-07-21 18:36:31
44,Butaritari,3.0707,172.7902,82.26,77,85,10.42,KI,2021-07-21 18:36:32
45,Buala,-8.145,159.5921,79.2,82,48,5.5,SB,2021-07-21 18:36:32
46,Jamestown,42.097,-79.2353,71.51,71,90,7.0,US,2021-07-21 18:35:27
47,Kashan,33.9831,51.4364,94.37,13,4,10.78,IR,2021-07-21 18:36:32
48,Hobyo,5.3505,48.5268,78.1,79,44,26.19,SO,2021-07-21 18:36:33
49,Kaa-Khem,51.6833,94.7333,65.95,60,100,13.31,RU,2021-07-21 18:36:33
50,General Salgado,-20.6483,-50.3606,77.77,10,88,1.48,BR,2021-07-21 18:36:33
51,Northam,51.0333,-4.2167,82.02,74,11,4.21,GB,2021-07-21 18:36:34
52,Belmonte,-15.8631,-38.8828,75.7,66,54,11.81,BR,2021-07-21 18:36:34
53,Esperance,-33.8667,121.9,53.44,73,99,23.58,AU,2021-07-21 18:36:35
54,San Cristobal,7.7669,-72.225,75.38,95,100,5.5,VE,2021-07-21 18:36:35
55,Kodiak,57.79,-152.4072,54.91,88,90,5.75,US,2021-07-21 18:36:35
56,Aklavik,68.2191,-135.0107,85.84,27,64,3.18,CA,2021-07-21 18:36:36
57,Caravelas,-17.7125,-39.2481,74.32,59,19,6.78,BR,2021-07-21 18:36:36
58,Santiago,-33.4569,-70.6483,73.4,14,83,3.47,CL,2021-07-21 18:36:37
59,Karla,59.3723,24.9275,64.36,62,0,16.11,EE,2021-07-21 18:36:37
60,Mar Del Plata,-38.0023,-57.5575,59.02,58,0,5.01,AR,2021-07-21 18:36:37
61,Cam Ranh,11.9214,109.1591,82.36,69,40,10.36,VN,2021-07-21 18:36:38
62,Lebu,-37.6167,-73.65,55.58,84,100,6.44,CL,2021-07-21 18:36:38
63,Mataura,-46.1927,168.8643,45.48,97,100,3.33,NZ,2021-07-21 18:36:39
64,Prieska,-29.6641,22.7474,40.77,50,0,16.08,ZA,2021-07-21 18:36:39
65,Puerto Ayora,-0.7393,-90.3518,84.16,87,100,11.99,EC,2021-07-21 18:36:40
66,Constitucion,-35.3333,-72.4167,59.94,68,100,0.92,CL,2021-07-21 18:36:40
67,Kiunga,-6.1219,141.2906,72.61,100,100,1.48,PG,2021-07-21 18:36:40
68,Luderitz,-26.6481,15.1594,55.6,46,0,24.11,NA,2021-07-21 18:36:42
69,Borovskoy,53.8,64.15,68.85,73,100,6.82,KZ,2021-07-21 18:36:42
70,Kapaa,22.0752,-159.319,80.58,83,75,4.0,US,2021-07-21 18:36:42
71,Tiksi,71.6872,128.8694,39.49,95,100,5.23,RU,2021-07-21 18:36:43
72,Bredasdorp,-34.5322,20.0403,45.72,81,100,9.22,ZA,2021-07-21 18:36:43
73,Sola,-13.8833,167.55,79.72,76,0,11.18,VU,2021-07-21 18:36:43
74,Severo-Kurilsk,50.6789,156.125,51.15,94,16,2.98,RU,2021-07-21 18:36:43
75,Katsuura,35.1333,140.3,79.11,84,0,0.96,JP,2021-07-21 18:36:44
76,Ostrovnoy,68.0531,39.5131,46.8,81,77,9.46,RU,2021-07-21 18:36:44
77,Bubaque,11.2833,-15.8333,80.87,81,100,13.0,GW,2021-07-21 18:36:45
78,Hermanus,-34.4187,19.2345,45.9,69,100,19.57,ZA,2021-07-21 18:36:45
79,San Carlos De Bariloche,-41.1456,-71.3082,46.15,81,75,4.61,AR,2021-07-21 18:36:45
80,Bardiyah,31.7561,25.0865,78.93,73,0,17.25,LY,2021-07-21 18:36:46
81,Ternate,0.8,127.4,80.82,79,100,6.55,ID,2021-07-21 18:36:46
82,Nome,64.5011,-165.4064,48.27,82,90,8.05,US,2021-07-21 18:36:47
83,Khatanga,71.9667,102.5,53.4,91,100,5.26,RU,2021-07-21 18:36:47
84,Cherskiy,68.75,161.3,55.31,50,5,2.86,RU,2021-07-21 18:36:47
85,Hasaki,35.7333,140.8333,73.8,87,9,2.86,JP,2021-07-21 18:36:47
86,Paciran,-6.8767,112.3761,77.27,80,98,5.23,ID,2021-07-21 18:36:48
87,Hamilton,39.1834,-84.5333,82.74,63,40,1.99,US,2021-07-21 18:34:54
88,Hithadhoo,-0.6,73.0833,82.54,73,100,14.38,MV,2021-07-21 18:36:48
89,Kodinsk,58.6881,99.1844,61.83,69,100,2.1,RU,2021-07-21 18:36:48
90,Souillac,-20.5167,57.5167,71.98,64,40,17.27,MU,2021-07-21 18:36:49
91,Busselton,-33.65,115.3333,51.04,84,63,8.55,AU,2021-07-21 18:36:49
92,San Patricio,28.017,-97.5169,92.07,45,3,5.95,US,2021-07-21 18:36:50
93,Bethel,41.3712,-73.414,80.71,72,75,10.36,US,2021-07-21 18:36:50
94,Tautira,-17.7333,-149.15,78.82,79,47,15.73,PF,2021-07-21 18:36:50
95,Kuusamo,65.9667,29.1833,48.24,87,75,9.22,FI,2021-07-21 18:36:51
96,Qaanaaq,77.484,-69.3632,37.54,99,100,14.18,GL,2021-07-21 18:36:51
97,Nizwa,22.9333,57.5333,91.65,48,31,3.76,OM,2021-07-21 18:36:51
98,Fallon,39.4735,-118.7774,90.43,15,75,5.75,US,2021-07-21 18:36:52
99,Yenagoa,4.9247,6.2642,76.32,78,100,7.14,NG,2021-07-21 18:36:52
100,Fort Nelson,58.8053,-122.7002,56.79,94,90,4.61,CA,2021-07-21 18:36:52
101,Kosum Phisai,16.2486,103.0674,82.81,82,100,11.74,TH,2021-07-21 18:36:53
102,Castro,-24.7911,-50.0119,64.67,44,7,2.26,BR,2021-07-21 18:36:53
103,Rio Gallegos,-51.6226,-69.2181,42.85,70,0,16.11,AR,2021-07-21 18:36:53
104,Solnechnyy,50.7214,136.6319,72.12,83,100,2.39,RU,2021-07-21 18:36:53
105,Ponta Do Sol,32.6667,-17.1,75.83,77,0,3.51,PT,2021-07-21 18:36:54
106,Kirakira,-10.4544,161.9205,77.34,87,14,7.29,SB,2021-07-21 18:36:54
107,Mga,59.75,31.0667,53.02,61,17,3.62,RU,2021-07-21 18:32:18
108,Kamsack,51.5667,-101.9009,75.65,44,2,7.65,CA,2021-07-21 18:36:54
109,Marystown,47.1666,-55.1483,62.56,97,100,8.39,CA,2021-07-21 18:36:55
110,Geraldton,-28.7667,114.6,59.41,88,90,4.61,AU,2021-07-21 18:36:55
111,Yellowknife,62.456,-114.3525,67.28,80,90,9.22,CA,2021-07-21 18:36:56
112,Upernavik,72.7868,-56.1549,42.93,81,56,4.81,GL,2021-07-21 18:36:56
113,Bluff,-46.6,168.3333,45.81,79,100,10.83,NZ,2021-07-21 18:36:56
114,Alta Floresta,-9.8756,-56.0861,96.62,24,0,11.5,BR,2021-07-21 18:36:56
115,Stromness,58.965,-3.296,57.45,85,5,8.05,GB,2021-07-21 18:36:57
116,Cap Malheureux,-19.9842,57.6142,72.09,66,51,10.0,MU,2021-07-21 18:36:57
117,Thompson,55.7435,-97.8558,71.76,56,75,5.75,CA,2021-07-21 18:35:02
118,Kendari,-3.945,122.4989,72.5,96,100,3.31,ID,2021-07-21 18:36:57
119,Kaitangata,-46.2817,169.8464,43.99,92,100,4.74,NZ,2021-07-21 18:36:58
120,Kahului,20.8947,-156.47,76.26,86,40,11.5,US,2021-07-21 18:33:11
121,Camacha,33.0833,-16.3333,72.36,73,20,12.66,PT,2021-07-21 18:33:22
122,Iqaluit,63.7506,-68.5145,42.53,86,90,8.01,CA,2021-07-21 18:36:58
123,Avarua,-21.2078,-159.775,73.45,100,20,3.44,CK,2021-07-21 18:36:59
124,Bilibino,68.0546,166.4372,52.93,57,100,3.11,RU,2021-07-21 18:32:20
125,Mahajanga,-15.7167,46.3167,75.22,43,0,5.75,MG,2021-07-21 18:36:59
126,New Norfolk,-42.7826,147.0587,47.57,80,100,3.18,AU,2021-07-21 18:36:59
127,Aripuana,-9.1667,-60.6333,96.31,23,0,3.98,BR,2021-07-21 18:37:00
128,Bambous Virieux,-20.3428,57.7575,71.85,64,40,17.27,MU,2021-07-21 18:37:00
129,Mayor Pablo Lagerenza,-19.9309,-60.7718,84.06,15,40,4.97,PY,2021-07-21 18:37:00
130,Ribeira Grande,38.5167,-28.7,72.0,64,20,16.11,PT,2021-07-21 18:37:01
131,Shenzhen,22.5455,114.0683,83.21,95,100,4.16,CN,2021-07-21 18:33:20
132,Atuona,-9.8,-139.0333,77.72,65,87,19.33,PF,2021-07-21 18:37:01
133,Whitehorse,60.7161,-135.0538,65.17,52,20,8.05,CA,2021-07-21 18:32:13
134,Tura,25.5198,90.2201,75.69,96,100,3.15,IN,2021-07-21 18:37:01
135,Ozerki,57.6167,39.8833,59.02,88,0,2.24,RU,2021-07-21 18:37:02
136,Vanimo,-2.6741,141.3028,76.84,89,98,3.6,PG,2021-07-21 18:37:02
137,Mehamn,71.0357,27.8492,46.58,81,90,27.63,NO,2021-07-21 18:37:02
138,Inongo,-1.95,18.2667,76.06,43,7,1.16,CD,2021-07-21 18:37:03
139,Lorengau,-2.0226,147.2712,80.58,78,69,2.42,PG,2021-07-21 18:37:03
140,Moore,35.3395,-97.4867,84.49,46,11,6.96,US,2021-07-21 18:32:33
141,Sao Jose Da Coroa Grande,-8.8978,-35.1478,76.68,81,9,12.77,BR,2021-07-21 18:37:04
142,Qinhuangdao,39.9317,119.5883,74.41,87,100,0.43,CN,2021-07-21 18:37:04
143,Nhulunbuy,-12.2333,136.7667,66.81,88,88,3.44,AU,2021-07-21 18:37:04
144,Florianopolis,-27.6146,-48.5012,73.4,69,0,10.36,BR,2021-07-21 18:37:05
145,Provideniya,64.3833,-173.3,41.38,82,100,4.12,RU,2021-07-21 18:37:05
146,Saint-Philippe,-21.3585,55.7679,69.39,83,66,16.49,RE,2021-07-21 18:37:05
147,Veshenskaya,49.6303,41.7334,70.2,80,99,9.93,RU,2021-07-21 18:37:06
148,Cheney,47.4874,-117.5758,68.34,59,75,8.05,US,2021-07-21 18:37:06
149,Kijang,35.2442,129.2139,78.53,92,100,9.8,KR,2021-07-21 18:37:06
150,Saint George,37.1041,-113.5841,99.95,29,1,1.99,US,2021-07-21 18:37:07
151,San Quintin,30.4833,-115.95,76.53,68,9,13.94,MX,2021-07-21 18:37:07
152,Port-Cartier,50.0334,-66.8654,66.74,52,100,5.57,CA,2021-07-21 18:37:07
153,Airai,-8.9266,125.4092,54.3,81,17,3.04,TL,2021-07-21 18:37:07
154,Bekhtery,46.251,32.2927,76.44,71,0,14.7,UA,2021-07-21 18:37:08
155,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,82.2,89,75,3.44,BR,2021-07-21 18:37:08
156,Behbahan,30.5959,50.2417,88.92,38,90,3.04,IR,2021-07-21 18:37:08
157,Georgetown,5.4112,100.3354,84.88,85,20,2.3,MY,2021-07-21 18:35:16
158,Victoria,22.2855,114.1577,82.08,83,99,9.71,HK,2021-07-21 18:36:06
159,Bowen,-20.0167,148.2333,44.82,65,6,9.62,AU,2021-07-21 18:37:09
160,Torbay,47.6666,-52.7314,58.26,98,90,12.66,CA,2021-07-21 18:35:36
161,Uribia,11.7139,-72.266,94.51,37,7,29.97,CO,2021-07-21 18:37:09
162,Port Hardy,50.6996,-127.4199,55.58,94,75,4.61,CA,2021-07-21 18:37:10
163,Dingle,10.9995,122.6711,77.49,82,100,10.94,PH,2021-07-21 18:37:10
164,Karachi,24.9056,67.0822,84.02,79,75,16.11,PK,2021-07-21 18:32:11
165,Yulara,-25.2406,130.9889,57.04,41,0,8.05,AU,2021-07-21 18:37:11
166,Vila Velha,-20.3297,-40.2925,76.96,62,20,10.36,BR,2021-07-21 18:34:55
167,Xinxiang,35.3089,113.8672,71.51,98,100,8.57,CN,2021-07-21 18:37:11
168,Hualmay,-11.0964,-77.6139,68.65,69,21,10.85,PE,2021-07-21 18:37:11
169,Amapa,1.0,-52.0,86.14,60,9,4.54,BR,2021-07-21 18:37:12
170,Korla,41.7597,86.1469,85.14,22,100,8.34,CN,2021-07-21 18:37:12
171,Chokurdakh,70.6333,147.9167,43.45,74,68,7.05,RU,2021-07-21 18:37:12
172,Pisco,-13.7,-76.2167,64.45,77,40,8.05,PE,2021-07-21 18:35:13
173,Palamos,41.8484,3.1291,83.98,55,71,9.62,ES,2021-07-21 18:37:13
174,Clyde River,70.4692,-68.5914,39.43,87,75,8.05,CA,2021-07-21 18:37:13
175,Dryden,49.7833,-92.7503,68.29,37,90,13.8,CA,2021-07-21 18:37:13
176,Khandyga,62.6667,135.6,63.82,99,100,3.96,RU,2021-07-21 18:37:14
177,Necochea,-38.5473,-58.7368,63.03,54,100,10.16,AR,2021-07-21 18:37:14
178,Alyangula,-13.8483,136.4192,53.47,87,100,0.0,AU,2021-07-21 18:37:14
179,Mizdah,31.4451,12.9801,79.66,36,0,12.71,LY,2021-07-21 18:37:15
180,Esso,55.9333,158.7,56.66,69,100,4.03,RU,2021-07-21 18:37:15
181,Sangar,63.9242,127.4739,54.9,95,100,5.32,RU,2021-07-21 18:37:15
182,Douglas,41.3,-96.167,86.99,58,1,5.01,US,2021-07-21 18:37:16
183,Karad,17.2833,74.2,71.01,94,100,17.94,IN,2021-07-21 18:37:16
184,Monte Patria,-30.6919,-70.9467,78.04,17,42,5.1,CL,2021-07-21 18:35:53
185,Wajima,37.4,136.9,77.4,88,3,5.1,JP,2021-07-21 18:37:16
186,Lisala,2.15,21.5167,74.43,81,100,1.43,CD,2021-07-21 18:37:17
187,Taoudenni,22.6783,-3.9836,112.12,7,56,12.46,ML,2021-07-21 18:37:17
188,Berlevag,70.8578,29.0864,46.2,76,75,29.93,NO,2021-07-21 18:37:17
189,Bagdarin,54.4333,113.6,54.39,96,100,1.92,RU,2021-07-21 18:37:18
190,Matara,5.9485,80.5353,79.3,85,100,13.96,LK,2021-07-21 18:37:18
191,Magomeni,-6.8,39.25,76.93,83,75,4.61,TZ,2021-07-21 18:37:18
192,Kautokeino,69.0125,23.0412,45.0,79,100,13.4,NO,2021-07-21 18:37:19
193,Potosi,-19.5836,-65.7531,51.94,19,52,2.3,BO,2021-07-21 18:37:19
194,Alexandria,31.2156,29.9553,82.36,74,20,12.66,EG,2021-07-21 18:37:19
